"filename", "language", "Protocol Buffers", "C++", "Makefile", "Markdown", "Docker", "CMake", "YAML", "Swift", "XML", "Dart", "HTML", "JSON", "Groovy", "Properties", "Go", "Go Checksum File", "Go Module File", "Environment Variables", "SQL", "comment", "blank", "total"
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 12, 57
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\auth_messages.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 430, 0, 0, 0, 0, 13, 62, 505
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\duo_service.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 7, 8, 121
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\duo_service_grpc.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 21, 31, 314
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\session_messages.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 641, 0, 0, 0, 0, 16, 91, 748
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\pb\void.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 8, 16, 132
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\sqlc.yaml", "YAML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\maker.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\paseto_maker.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 12, 54
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\paseto_maker_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 12, 50
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_backend\token\payload.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
